FSASSET,FSSLTDE2,RAWERND,SHELDED,FSNONCIT,CERTHHSZ,WRK_POOR,FSERNDED,FSNETINC,FSERNDE2,FSUSIZE,FSSSI,TANF_IND,REALPROP,LIQRESOR,FSWAGES,FSCSEXP,FSSTDDE2,FSDIS,FSSLTDED,TPOV,FSNK0T4,FSTOTDED,FSOTHUN,FSUNEARN,FSGA,FSEARN,FSTANF,RAWNET,FSNELDER,CAT_ELIG,FSVEHAST,VEHICLEA
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,104.0,0.0,104.0,0.0,2.0,0.0,0.0,151.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,201.0,0.0,104.0,35.0,0.0,238.0,0.0,389.0,0.0,0.0,389.0,150.0,0.0,1.0,0.0,0.0
403.0,85.0,258.0,85.0,0.0,4.0,1.0,258.0,808.0,343.0,4.0,0.0,0.0,0.0,403.0,1290.0,0.0,208.0,0.0,85.0,77.0,2.0,482.0,0.0,0.0,0.0,1290.0,0.0,807.0,0.0,2.0,0.0,0.0
0.0,417.0,223.0,417.0,0.0,3.0,1.0,222.0,495.0,274.0,3.0,0.0,0.0,0.0,0.0,1113.0,0.0,142.0,0.0,417.0,92.0,0.0,773.0,0.0,155.0,0.0,1113.0,0.0,495.0,0.0,2.0,0.0,0.0
0.0,387.0,162.0,417.0,0.0,1.0,1.0,162.0,0.0,212.0,1.0,0.0,0.0,0.0,0.0,812.0,0.0,170.0,0.0,417.0,99.0,0.0,842.0,0.0,0.0,0.0,812.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,228.0,118.0,229.0,0.0,1.0,1.0,117.0,549.0,175.0,1.0,95.0,0.0,0.0,0.0,589.0,0.0,201.0,1.0,228.0,127.0,0.0,492.0,0.0,452.0,0.0,589.0,0.0,547.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,255.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,134.0,0.0,389.0,0.0,0.0,389.0,255.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,417.0,170.0,417.0,2.0,4.0,1.0,170.0,126.0,170.0,4.0,0.0,0.0,0.0,0.0,852.0,0.0,139.0,0.0,417.0,51.0,0.0,726.0,0.0,0.0,0.0,852.0,0.0,125.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,417.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,12.0,0.0,611.0,0.0,170.0,0.0,0.0,120.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,417.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,114.0,103.0,115.0,0.0,2.0,1.0,103.0,279.0,154.0,2.0,0.0,1.0,0.0,0.0,516.0,0.0,201.0,0.0,114.0,57.0,1.0,351.0,0.0,114.0,0.0,516.0,114.0,278.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,134.0,0.0,231.0,231.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0
0.0,163.0,183.0,164.0,0.0,2.0,1.0,183.0,574.0,274.0,2.0,0.0,1.0,0.0,0.0,916.0,0.0,201.0,0.0,163.0,111.0,1.0,652.0,0.0,310.0,0.0,916.0,310.0,573.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,417.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0,0.0,1.0,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,203.0,0.0,0.0,2.0,1.0,203.0,678.0,203.0,2.0,0.0,0.0,0.0,0.0,1015.0,0.0,134.0,0.0,0.0,92.0,1.0,337.0,0.0,0.0,0.0,1015.0,0.0,678.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,28.0,0.0,134.0,0.0,231.0,231.0,0.0,0.0,97.0,0.0,1.0,0.0,0.0
0.0,114.0,0.0,114.0,0.0,1.0,0.0,0.0,380.0,0.0,1.0,427.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,114.0,77.0,0.0,248.0,0.0,628.0,0.0,0.0,0.0,380.0,1.0,1.0,0.0,0.0
0.0,255.0,0.0,322.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,0.0,322.0,28.0,2.0,456.0,0.0,389.0,0.0,0.0,389.0,0.0,0.0,1.0,0.0,0.0
0.0,52.0,0.0,52.0,0.0,4.0,0.0,0.0,308.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,1.0,52.0,30.0,0.0,191.0,0.0,499.0,0.0,0.0,0.0,308.0,0.0,2.0,0.0,0.0
55.0,256.0,0.0,256.0,0.0,1.0,0.0,0.0,246.0,0.0,1.0,0.0,0.0,0.0,55.0,0.0,0.0,201.0,1.0,256.0,78.0,0.0,390.0,0.0,636.0,0.0,0.0,0.0,246.0,0.0,2.0,0.0,0.0
0.0,417.0,0.0,417.0,0.0,3.0,0.0,0.0,308.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,417.0,66.0,1.0,607.0,915.0,915.0,0.0,0.0,0.0,308.0,0.0,2.0,0.0,0.0
23.0,273.0,0.0,273.0,0.0,3.0,0.0,0.0,517.0,0.0,3.0,529.0,0.0,0.0,23.0,0.0,0.0,201.0,0.0,273.0,67.0,0.0,407.0,0.0,924.0,0.0,0.0,0.0,517.0,2.0,2.0,0.0,0.0
